video_id,comments
aofB2t5o2ao,"['My problem is procrastination. Some of it has been because in my current career, I make more than starting analytics salaries. Potatoes. Thanks, Alex. I have watched this and used the channel since 2020 or 2021.', 'Potatoe!!', ""POTATO! The best tip from this video, 'Text your wife even if you are in the middle of a recording (work)'😂😂. \n\nIt's honestly really helpful video. Each section teaches a lot. Most of the things are applicable for both beginners and experienced persons as well. \n\nAlex seems to be a great person to me. Not only because of his professionalism, but also the way he speaks, the way he guides you through things, the way he explains, and the best thing is the smile he always has on his face. That adds a lot into the professional as well as the humanly character of a person. \n\nListen to this video and you will have a lot of things that you really wanna try as a freelancer, as a business owner and as a data analyst as well. ❣\n\n💓Huge Love and Respect to you Buddy. Keep up the good work"", 'Very inforamative chat to listen to while doing my SQL and potato practice. I always find the advice and experience you have motivating and inspiring. Cheers!', ""Potato's"", 'Patato', 'Somebody said Potato!', 'Potato 🥔', 'Potato! I was just building up all these questions in my mind all week. And here you are. Thank you. Very very helpful. Happy holidays!', 'Potatoes !!!!!!!!!! Thank you Alex !!!!!!!!!!!!']"
-DwpkgtJjGw,"['So clear, thanks 😊', '@AlexTheAnalyst. How can I get a quick taste of the work samples to see if I would enjoy/excel at coding or data analysis or neither?', 'I have a question: I hold an MBA and i have obtained courses on Excel, SQL, tableau, and python... So should i apply for business analyst or data analyst to land a job faster ?!', 'Perfect explanation... Thanks', '👏👏💯', 'Hello, And what is the difference between business intelligence developer, data analyst and data scientist?', 'Yup, that is what I currently do. Business Analyst. :)']"
h4KTy2wxYcQ,"['Hey Alex, When does beta end and become the ""real""  version? My financial situation is in the crapper for the forseeable future and don\'t know when I\'ll be able to buy access (due to my wife\'s medical issues i had to pull back from data analysis skill building,  so feel like im further behind than when I first started a year and a half ago)', 'Alright Alex … I’m in!! Lifetime Subscriber & I’m ready to learn! I got to support my Carolina Homie & after seeing this video it really shows your true heart in just wanting people to learn and helping them achieve their dreams and goals!! I appreciate you, sir and I am looking forward to achieving my goal in 2024 to finally shifting my career in purchasing to working as a data analyst!!!', ""Hello Mr. Alex I just want to Let you know that all your courses from the youtube channel down to the new website that you build is all awsome and it greatly helps me. And I hope someday I will be like you, from a nobody to Hero. Your an awsome and cool person. I'm going to save up money to purchase the full $249 bundle (for me $249 is still expensive specially when your from a poor country like Philippines hehehe)... Cheers to your Success!!"", 'Congrats for this lunch! You have definitely put in a lot of work into this. I created an account but not being able to log in.', '🎉congratulations', 'Would you say this your version of a boot camp?By this I mean you would learn everything to land you your entry level job? Or is this  more of a way to help you further your knowledge while going to school/ boot camp/or working as a data analyst?', 'This is so exciting! Is there a recommended order to take the courses in? Or does anyone have a recommendation for which one to start with for someone just starting out?', 'Congrats Alex! So proud of you as my mentor and role model! Great website, I am going all in!!! Thanks for keeping the vibe up and coming with amazing content!!!', 'Alex, Congratulations and what´s the advantage of this platform rather than Data Camp?', 'Bless you you beautiful and kind human <3 I wish all coursemakers were like you, and I hope Analyst Builder becomes the most successful Data Analysis learning hub, for your sake and ours!']"
LaRXtE4OG9A,"['Yes. So glad you mentioned this.', 'Hi Alex\nI am big fan of your videos on YouTube\nI am from Bharat', 'Nice', ""Meanwhile if you look at junior data analyst vacancy in Indonesia, you'll find out that almost all of them require Python, which is ridiculous"", 'Thank you for saying this!! There is a misconception out there that the more tools you know, the better analyst you are!! Which is not true at all!!', 'What if i am using Bigquery and google sheets ?', ""I try to find you on LinkedIn but I can't 😕😕 please share you I'd ❤"", ""Thanks for sharing data analysis full playlist it's very helpfull for me thanks a lot @AlexTheAnalyst❤❤""]"
J0PcCv9f4JQ,"['Be great at one rather than being good at all.', ""Wow, it's fascinating that I've also received advice to narrow my focus to a specific field rather than pursuing a general Data Analysis role. I'm particularly interested in healthcare, but it might be more challenging to find an internship that aligns with my aspirations in this field. So I wonder whether it's necessary to select a domain at this stage or simply get into a company and follow the field they specialize in? :>>"", 'Great video. New analyst should have several domains they have knowledge of, but as they advance, it should become more narrowed.', 'Why is it so difficult getting a job as a data analyst', 'Unless John was a black trannsgender then he definitely would get the job', 'This makes a lot of sense. Thanks for the great videos, Alex!', 'We need a new updated video about data analyst industries. Thanks 🙌', 'Alex, how can i specialize in healthcare for data analysis?', 'Do you think Marketing analyst is a good specialisation to take?', 'dumb question. How do I especialize in a specific domain?']"
_DGn-7134i0,"['HI, Alex, can you please do a video on SSIS or recommend where to see a good tutorial on it\nThank you', 'Can you be a data analyst fr scratch. My be you were working as a marketer', ""Alex , you have been doing an amazing job with these videos it has helped me a lot, currently I'm junior data analyst , I want to understand how to upskill myself to mid and senior  by improving quality and presentation of my work  so I can target larger companies or get promoted in my current role, would be great if you can create content around that for current junior analysts"", 'I am pursuing BA in Sociology. Am i be eligible for Data Analyst Role🤔🤔', 'please make a subtittle', 'Hi Alex, thank you for all you do.\nI am unable to download the Excel datasets from GitHub.\nAny other way i can get them, please?\n\nI just started the Data Analytics Bootcamp.', 'Hi Alex im a student doing bsc in biotechnology and biosafety,im interested in data analysis can that create a great scope for me and is possible to succeed in the field of data analysis?', 'Must you know Tableau and power BI as a data analyst cause I kinda prefer Power BI.', ""We're still waiting for the oracle mysql tutorial videos"", 'you are amazing 🤩']"
EflE8U30pBo,"['Hi Alex when you are going to teach the full course of pyhton', 'Good morning Alex, sorry I tried reaching out on LinkedIn but your dm is locked. Please I’m trying to create my data analysis resume. On the project section, how do newbies go about it since I don’t have any experience yet & I haven’t done any real life project with a company. Is there any place we can get data & questions to carry out a real project? I’ll really love your feedback on this.', 'Hi, Alex just started my journey to Data Science, thanks for your content', 'Hi Alexander, your bald spot is as smooth and clear as your training, thank you for your bald spot.', 'Will analyst builder include cloud?', 'Hi Alex, thank you for the videos. In my 40’s and switching careers. Taking google DA prof cert course. On section 7 of 8 but not feeling like I’m super sure of how much it has taught me lol.. thoughts? Advice? Thank you', '🌼🌼🌼 Do you have a noSql portfolio project for us 😄', 'Thanks for what you do', 'Which laptop is best for data analytics Windows laptop or Mac OS...i want something i can use for the long term.', 'flowers = compliment something, show respect, ie ""Alex the Analyst deserves all the flowers""']"
j_sHaBJEHMk,"['great tip but the only thing that had worked for me so far is saying no to lesser amount and then somehow hr manages to come close to what i am asking', '🤴 👑 Alex', 'Statistics please 😂', ""He's not just Alex the Analyst.  He's Alex the data analytics G.O.A.T 🐐"", 'Great content Alex, this is a good tip.', 'thank you so much alex.. this will literally help me in the future 🙌🏻']"
xuyKzpJ2SaY,"[""I've been in my current role for a little over a year, this is my first healthcare analyst role using SAS.  I feel that we use SAS Enterprise Guide very little for statistical purposes and more for ETL from several different data sources, as our primary team database and for automated scheduled reporting with extracts to shared locations and emailed attachments (Excel, PDF and embedded email body reports) similar to how I used to use  Microsoft's SSRS in my previous teams.  For dashboards, we push data out to Tableau to build them there."", 'Thanks for your sharing on your thought on SAS Explore event, sound like a good experience', 'Sir make a video on statistics for data analysis.', 'I THINK YOU SHOULD CREATE A SINGLE PROJECT WHICH INVOLVES ALL TOOLS LIKE PYTHON , SQL ,TABLEAU IT WILL HELP US A LOT.', 'AN EXEC AT SAS HELPED WIRETAP MY COMPUTERS TO STEAL MY ASSETS WITH USING WEB WATCHERS AND AWARENESS TECHNOLOGIES WHO VIOLATE THE FEDERAL WIRETAP APP. STALKING MYSELF AND CHILDREN. THIS COMPANY SHOULD BE INVESTIGATED AND THOSE INVADING PRIVACY ARRESTED AND PLACED IN FEDERAL PRISON THE CEO RUNNING CHILDRENSORGS AND COS IS VERY CONCERNING.', ""Hey Alex Good morning and Thank you for all you ressources. Because you're my raw model in data analysis, today I commit myself to finish the Coursera data analysis in 3 months. So on the 28 December I Will be done. If not so that's means that I'm not a recommended person in that field.\n\nThanks a lot."", 'Trading took half a year of my life. Im just investing in Cannafarm ltd today and getting daily returns', ""I'm a biostatistician and an R user but I joined academia recently, they use SAS with big data. I tried using R and it crashed. I think SAS is capable of what R isn't capable of. But I don't know if it can beat Python. I would rather not use SAS because it is pain to learn"", 'SAS is amazing - Amazing people - Amazing certificatons - it is so awesome to hear your opinion is starting to align with what has been one of the major focuses in my current and previous experiences - check out their certifications! They are also constantly improving on existing features - Sas on Demand is really easy to jump into and get started learning! Happy coding =) 🙂', 'Hey Alex, thanks for sharing this with us. A SQL question for you please, is there a SQL certificate that makes me stand out from the crowd? Not an administrative certificate, but a database certificate that will make my resume noticeable along with my computer science degree. Thanks, your friend from Kansas City.']"
D0mEy6bJ2lA,"['Wow 😅😅 you are amazing man 💖', 'i am sure one day you will miss the alex of today', 'Baby face😊', 'Wow look at your innocent face 😂', 'You really look like John krohn', 'the legendd', 'you certainly helped a lot of people.thanks', 'What age were you when you became fully bald?', 'Wow, and look at you today.\n\nCongratulations!!', 'How time goes by ...']"
GaoAc3-hScQ,"[""I'd love to see your insights about getting into this field by studying an especific data related career vs migrating from other careers vs self-study. Each year new careers are created and that's kinda new and there are almost no people talking about it. I plan to study a 4-year career called Data Science Engineer (which also grants the academic degree of Data Analysis Superior Technician after the second year of study) where I live. I know there are some careers like that in the US. What do you think about it? I'm also taking online certifications because I really love this area of knowledge and I want a solid formation too. I'm even considering a Master in Statistics after that. Thank you for your amazing work. I've learnt a lot from you 😁 (Sorry for my English 😅)"", 'Do you have advice for someone who would like to be in the government while pursuing a career in Data? I know data science will be one of the careers I want to get into as well as Data engineering but in government, I know it can be different.', 'Hey. How about entering the data analyst world? What would a good path look like for a non programmer? :)', 'Timing couldn’t be any better! I have a meeting with my manager about my career path today 😅', ""I know basic SQl, done some courses on oracle DBA, on udemy, an Linkin learning, just want a entry level job,it's so hard subscibe to your channel will be doing some projects😊"", 'Alex sir please reply to this comment as i believe in you the most for this question PLEASE 🙏🙏🙏 REPLAY ITS VERY IMPORTANT FOR ME. \n\n""I am currently preparing for  a data analyst job and i really wanna know if is it still worth it in 2024 or if the job is being replace by gpt as many are saying this that there will be very few to no job job in data analyst field in coming time... \n\nPlease replay to this should I CONTINUE my preparation for data anylast or should i change it to something else. And are company  laying off employees related to this fields', 'Can you talk about different specializations and applications of Data analysis, like medical Data analyst, finical,.... Etc.', ""When is your website coming out i can't wait anymore 😢"", ""I'm a fresher and I want to become a data analyst so any one can suggest to me how to start and what should I do"", 'Can we upskill with machine learning and NLP after entry level analyst role']"
bxIF9X9k2IE,"['https://youtu.be/BTN6qW3lfWo?si=WH3Ze8ZaV_Iqk8hP\n\nWatch the video to know more about data analyst, data science and data engineering.', 'excellent tutotial', 'Hey Alex! Love your videos! Can you do one on career paths for data analysts? I currently work as an analytics manager and am trying to figure out where to go from here', 'Power query in excel', 'Alex sir please reply to this comment as i believe in you the most for this question PLEASE 🙏🙏🙏 REPLAY ITS VERY IMPORTANT FOR ME. \n\n""I am currently preparing for  a data analyst job and i really wanna know if is it still worth it in 2024 or if the job is being replace by gpt as many are saying this that there will be very few to no job job in data analyst field in coming time... \n\nPlease replay to this should I CONTINUE my preparation for data anylast or should i change it to something else. And are company  laying off employees related to this fields', 'What about PGcert? Can they not be used for jobs?', 'my background is business psychology and a big part of my study was quantitative methods - parametric and non parametric statistical methods like regression or variance analysis. This is a background that not everyone has in mind when thinking about data analysis.', 'Hey, would 2 excel projects, 2 SQL projects, 2 powerBI projects, and 2 projects using all of the above skills be enough for a portfolio?', 'Thanks for your continuous uploads. One content suggestion for you, assume that you are going to start a new job, while your data analysis skill is top-notch, the first challenge is always about understanding the business at first, in such case what will be your plan to understand them. I hope we can see a content from you on this matter.', ""Hello Alex, thank you for your explanation! Help us a lot, especially for departments where DA & DS stands together in the same place. I have a favor, could you mind describe difference DA & BI (Business Intelligence)? It's quite confusing, especially on startup company, because both of them shall deals with adhoc request, create dashboard, and reports.""]"
z_xWpa88R0A,"['Excel has been a staple in my work in finance and accounting and is still so in data analytics. Those who say Excel is not powerful have never learned the advanced functions that Excel can do. Yes, they can slow down with large data sets. But if you can use your other programs to slice and dice your data sets into smaller tables, Excel is a great tool to share that filtered data with your stakeholders.', 'So sir what about power bi is good or not for analyst', 'Excel is very good, and it can be slow when dealing with a big dataset', 'Ok! I will learn', '#Staple', 'Hi Alex. I am having a problem with Excel and Github. I uploaded an Excel file on Guthub, and on downloading it from Excel, it is no opening. I need help.', ""It's horrible that spreadsheets are so widely used.  They are inefficient, studies show they tend to be riddled with mistakes.  Excel is as outdated as using a fax.... maybe AI will be the death of Excel."", ""For sure Excel remain in the game, not even now that you can run Python codes in Excel \n\nMy work sits between a Data analyst role and Data Scientist role, maybe that makes me a Data Science Analyst as mentioned by @Alex recently.\n\nSeveral times I find myself preparing stakeholders' reports in excel/word."", ""I am now building some Power BI projects, but does anyone know where to find live (which gets updated) databases to use? I don't want to just use a csv file, but want to build one with a live connection."", 'It is vital you teach collegues how to use vlookup so you can focus on more interesting tasks :)']"
7PoZBuIUnEU,"[""I love how these distinctions do not apply at my company at all. If you prove yourself as anything-analyst and they have some task involving data, you bet your ass you're gonna be assigned that task."", 'Is it possible to pursue my master degree in business analytics but find a data analyst job', 'I move from BI dev to DA  for the currently  job role more widely  and challenging', 'Hey Alex! Just wanted to say I recently accepted my first role as a Business Analyst. I had no experience, until June of this year I was working as a 7th grade science teacher. Thanks for all the resources, they were tremendously helpful!!!', 'Thanks for the comparison, you save me so much time  entering the wrong field . Business analyst would suit me more.', 'Where is product analyst for data analyst?', 'bro if you could please improve your audio a bit more. it is not very high. would be great', 'Thanks to Alex and other YouTubers who share their knowledge for free.  It is almost 2 years since I have been learning web development and data analysis from them. Now I have one year of industrial experience as a developer and recently, started to make data analysis projects on my YouTube channel:)\nYou are doing a great job. Keep going.', 'Can you do project or course for BA ? thank you', 'I just came here to thank you for everything you provide for free! I graduated in April and started building my portfolio using your videos. I also went through your content to learn the basics on PowerBI, Tableau and Excel. Amazing value!!! I started my new job this week and I couldn’t be more grateful for people like you\U0001f979\U0001faf6🏻']"
fq1-e-GbihE,"['Hey alex please clear my doubt ..i have being hearing gpt4 will replace data analsyt is it true ?? And if not then how ?...because i have seen uploading files to gpt4 interpreters and it actually performs all the necessary analysis 😢', 'Omg 8 month - it actually took me exactly 8 months', 'How much is it to get mentored by you', 'Thank you!', 'I was very lucky it took me 2 month. And because the company I’m working for only needed Excel. Now the company is transitioning to power bi. Which is great for me as I leant how to use power bi in bootcamp', 'I started my data journey back in November of 2021 and started actively job searching in the data field around march 2023. On August 29th 2023, I started my very first role as a Jr DA. Although I’m only making 20 hourly, the experience I’ll receive is invaluable. A lot of my journey is thanks to your channel and the content you provide. I went from using Google sheets to watching your portfolio tutorial now now finally having a job as an Analyst.', 'Thanks sir for sharing useful information', 'moreso, when you talk about salary for data anlayst do you mean per month or per project?', 'am starting mine today, i wish i learn it for 5 month, so how many hour are good to learn a day?', 'I reached out to the DA department in my company. Started working on projects and 1.2 years later I was officially promoted. Knowing people really helps cause I was mostly self taught']"
Xkb6h3YXl_c,"['Thank you, Alex. You are just a blessing for me.', 'Banger content. Comment for the algorithm', 'Plz make a 1 video how we collect a data which we used for our projects. I have done your data analyst boot camp series', ""I'm currently working on my MBA capstone project as part of my journey towards completing my MBA in data analytics. Transitioning from a background in IT and marketing, this degree has significantly aided me in securing a technical data analyst position, where I utilize SQL and Python regularly. However, due to the accelerated nature of the program, I've noticed that my soft skills, particularly in effective communication and presentation, could use improvement. I'm seeking suggestions on how to enhance my ability to communicate and present complex data analytics, statistics, AI, and ML concepts to both my team and business leaders. Any ideas or advice would be greatly appreciated."", 'I absolutely agree that it is possible to develop your soft skills. If you feel insecure because you are an introvert and have some degree of social anxiety, I promise over the years that you will develop your own communication style and eventually you will learn that people will genuinely like you for who you are. It takes time, and not everyone will like you no matter what you do. But you will become comfortable with who you are. And maybe one day you will own it and create an entire brand around it. Signed: The Nerd Dad Extraordinaire ~ A Fellow Introvert.', 'Hey Alex! I have been struggling with coming up with project ideas for my portfolio. What do you recommend?', ""Have you done a video on what makes a good Data Analyst Resume's?"", ""Hello: I'm new to this field with a BS in Sociology and will be starting my MS in Data Analytics in a couple of weeks.  I was wondering if there are any entry level, no experience opportunities that could be worked while you're learning for those who need to work while in school?"", '""We\'re really looking forward to seeing more advanced projects in Excel, SQL, and Power BI on your channel! Your content is awesome, and we\'re eager for even more challenging stuff. 😇""', 'Is this job more hard skills or soft skills?\n\nYes. :D']"
